40.346167,used on a class project,"",used on a class project,1,UML bekniet Epk petri nets,f1e1c1cc-cf59-461e-ae83-0cca00942401,f1e1c1cc-cf59-461e-ae83-0cca00942401,f1e1c1cc-cf59-461e-ae83-0cca00942401
142.754129,used on multiple projects in industry,3,used on multiple projects in industry,1,"ERM, User flows, Algorithms",bece29d3-9f41-4c53-9609-3e1e9c73cecf,bece29d3-9f41-4c53-9609-3e1e9c73cecf,bece29d3-9f41-4c53-9609-3e1e9c73cecf
59.148684,no experience,0,no experience,0,No,042ea4d3-a008-41ac-97dd-19a7f5dddedd,042ea4d3-a008-41ac-97dd-19a7f5dddedd,042ea4d3-a008-41ac-97dd-19a7f5dddedd
26.934902,learned in class or from book,3,no experience,-,-,af9090d4-430e-4ad3-9cd7-aa6491e75784,af9090d4-430e-4ad3-9cd7-aa6491e75784,af9090d4-430e-4ad3-9cd7-aa6491e75784
38.161319,used on a class project,5,used on a class project,1,"UML, ER",a5e3630d-60af-47be-b644-395d846a9746,a5e3630d-60af-47be-b644-395d846a9746,a5e3630d-60af-47be-b644-395d846a9746
36.821946,no experience,0,no experience,0,none,bc3adf14-3002-4a48-b456-b24701b7a497,bc3adf14-3002-4a48-b456-b24701b7a497,bc3adf14-3002-4a48-b456-b24701b7a497
58.126359,used on a class project,2,learned in class or from book,1,"UML, ER",77df84b8-3178-455c-a8a6-1b040c7d06a2,77df84b8-3178-455c-a8a6-1b040c7d06a2,77df84b8-3178-455c-a8a6-1b040c7d06a2
92.394002,used on one project in industry,2,used on a class project,2,"UML, ER, BPMN",e25557bb-c0ea-45c4-8820-5dff13037b12,e25557bb-c0ea-45c4-8820-5dff13037b12,e25557bb-c0ea-45c4-8820-5dff13037b12
88.064655,learned in class or from book,0,learned in class or from book,0,BPMN,678c5505-d912-4ea2-b317-129e641329d4,678c5505-d912-4ea2-b317-129e641329d4,678c5505-d912-4ea2-b317-129e641329d4
81.304997,no experience,2,no experience,0,"",32ed680e-7751-4fe6-b93b-d03ea58809ef,32ed680e-7751-4fe6-b93b-d03ea58809ef,32ed680e-7751-4fe6-b93b-d03ea58809ef
79.090908,used on a class project,3,used on a class project,1,"UML, ER",2cd942ac-a421-4fd0-9ef5-29f230bbb996,2cd942ac-a421-4fd0-9ef5-29f230bbb996,2cd942ac-a421-4fd0-9ef5-29f230bbb996
93.631917,used on a class project,1,learned in class or from book,0,BPMN,e92cf3af-9465-45db-8b2e-1b66e2a1a27a,e92cf3af-9465-45db-8b2e-1b66e2a1a27a,e92cf3af-9465-45db-8b2e-1b66e2a1a27a
111.199214,used on one project in industry,4,used on one project in industry,"","UML, BPMN 2.0, ER",549e797c-e540-45e6-a934-1616a89ac263,549e797c-e540-45e6-a934-1616a89ac263,549e797c-e540-45e6-a934-1616a89ac263
121.382721,no experience,2,no experience,0,Not,40fc4049-2873-4051-827f-6a0413989c8c,40fc4049-2873-4051-827f-6a0413989c8c,40fc4049-2873-4051-827f-6a0413989c8c
92.519993,used on multiple projects in industry,6,used on a class project,2,"UML, ER",76a98693-1332-437a-af8d-5c4f746dc7b9,76a98693-1332-437a-af8d-5c4f746dc7b9,76a98693-1332-437a-af8d-5c4f746dc7b9
73.69832,used on multiple projects in industry,12,used on multiple projects in industry,10,"UML,ER,BPMN",195cb5db-d09b-4876-9da8-d3f19b5851c8,195cb5db-d09b-4876-9da8-d3f19b5851c8,195cb5db-d09b-4876-9da8-d3f19b5851c8
61.670982,used on a class project,2,learned in class or from book,0,ER,c8c0a075-a348-4031-be97-87a3d0dd5506,c8c0a075-a348-4031-be97-87a3d0dd5506,c8c0a075-a348-4031-be97-87a3d0dd5506
107.063906,learned in class or from book,2,learned in class or from book,2,"BPMN, ER",513f7b03-04c7-4caa-b44b-7c30f3369a68,513f7b03-04c7-4caa-b44b-7c30f3369a68,513f7b03-04c7-4caa-b44b-7c30f3369a68
83.303104,used on a class project,0.5,learned in class or from book,1,ER,16d8b8fa-d529-4c81-986c-f92981d9b7cc,16d8b8fa-d529-4c81-986c-f92981d9b7cc,16d8b8fa-d529-4c81-986c-f92981d9b7cc
105.521519,learned in class or from book,4,learned in class or from book,4,"UML, BPMN, EPK, Petrinetze",cabf0b72-53a0-4bb8-a817-08ff879a5537,cabf0b72-53a0-4bb8-a817-08ff879a5537,cabf0b72-53a0-4bb8-a817-08ff879a5537
20.889807,used on one project in industry,2,learned in class or from book,0,-,5e567c54-d26b-4743-a872-9c80ec50cb2e,5e567c54-d26b-4743-a872-9c80ec50cb2e,5e567c54-d26b-4743-a872-9c80ec50cb2e
28.529734,learned in class or from book,1,no experience,0,ER,7f9e174e-6084-4030-a5b3-3d955afc7730,7f9e174e-6084-4030-a5b3-3d955afc7730,7f9e174e-6084-4030-a5b3-3d955afc7730
89.247287,used on a class project,2,learned in class or from book,"0,5","UML, BPML",042fa867-804f-4712-a808-33c0a83be364,042fa867-804f-4712-a808-33c0a83be364,042fa867-804f-4712-a808-33c0a83be364
38.537815,used on one project in industry,1,learned in class or from book,1,"ER, UML, EPK, BPMN",55f263d3-e3b3-40dc-8308-06b8aae96e0d,55f263d3-e3b3-40dc-8308-06b8aae96e0d,55f263d3-e3b3-40dc-8308-06b8aae96e0d
53.169504,no experience,0,no experience,0,none,6144c0a0-96c5-482a-9b5a-eb6ad03ef383,6144c0a0-96c5-482a-9b5a-eb6ad03ef383,6144c0a0-96c5-482a-9b5a-eb6ad03ef383
32.961269,no experience,2 months,no experience,0,keine,cb133fee-aa9c-4814-b94e-34cd62b82bb5,cb133fee-aa9c-4814-b94e-34cd62b82bb5,cb133fee-aa9c-4814-b94e-34cd62b82bb5
67.394263,learned in class or from book,2,learned in class or from book,1,-,3ba490ae-a764-44e3-9834-ae0472f1f4c6,3ba490ae-a764-44e3-9834-ae0472f1f4c6,3ba490ae-a764-44e3-9834-ae0472f1f4c6
48.981323,used on one project in industry,"",used on a class project,"","UML, ER",553a9ee1-e841-4393-9a4b-677bfc2b4edb,553a9ee1-e841-4393-9a4b-677bfc2b4edb,553a9ee1-e841-4393-9a4b-677bfc2b4edb
92.778125,learned in class or from book,i am in 5 semester，but i donnot think i have enough 2 year，maybe less 1 year,learned in class or from book,no,only learned some uml，er， petrinetz,9904f577-7b8b-49f3-b159-7ebc38b435eb,9904f577-7b8b-49f3-b159-7ebc38b435eb,9904f577-7b8b-49f3-b159-7ebc38b435eb
51.121517,no experience,2,no experience,0,"",63b9a644-2168-4c42-a1e7-735de5b1bde3,63b9a644-2168-4c42-a1e7-735de5b1bde3,63b9a644-2168-4c42-a1e7-735de5b1bde3
41.447181,used on one project in industry,2 weeks,no experience,"","",25358758-6f87-4398-b82c-122106e5fabd,25358758-6f87-4398-b82c-122106e5fabd,25358758-6f87-4398-b82c-122106e5fabd
76.666596,used on multiple projects in industry,7,learned in class or from book,0,"UML, ER",8a0f8c82-0511-4477-b03c-258cfa3a87c9,8a0f8c82-0511-4477-b03c-258cfa3a87c9,8a0f8c82-0511-4477-b03c-258cfa3a87c9
34.796766,no experience,"",no experience,"","",e3318ed9-f682-4e0f-89ed-bae05daf7489,e3318ed9-f682-4e0f-89ed-bae05daf7489,e3318ed9-f682-4e0f-89ed-bae05daf7489
57.490604,learned in class or from book,4,learned in class or from book,1,Uml,ff43799f-e18c-49bc-b377-91f6bea703fe,ff43799f-e18c-49bc-b377-91f6bea703fe,ff43799f-e18c-49bc-b377-91f6bea703fe
93.537712,used on multiple projects in industry,5,used on a class project,2,ER,8dc7b89c-5fff-43cc-ae7a-f69e4aebf5c6,8dc7b89c-5fff-43cc-ae7a-f69e4aebf5c6,8dc7b89c-5fff-43cc-ae7a-f69e4aebf5c6
60.662694,learned in class or from book,2,learned in class or from book,2,ERM,e9b565dd-db4b-4fb3-9222-751b45286bca,e9b565dd-db4b-4fb3-9222-751b45286bca,e9b565dd-db4b-4fb3-9222-751b45286bca
57.482573,used on multiple projects in industry,25,used on multiple projects in industry,25,"BPMN, ER, UML, EPK, Petri Nets, CPEE Trees, WSM Nets, BPEL",e7317896-be7e-4e68-ae0d-79f3fda9fd93,e7317896-be7e-4e68-ae0d-79f3fda9fd93,e7317896-be7e-4e68-ae0d-79f3fda9fd93
46.193239,used on a class project,5,used on a class project,3,UML,d1509f41-7d30-42ea-90f2-35798b3cdcad,d1509f41-7d30-42ea-90f2-35798b3cdcad,d1509f41-7d30-42ea-90f2-35798b3cdcad
74.607993,used on one project in industry,2,learned in class or from book,<1,bpmn,9d584f52-4a33-4a4d-bf16-3e5294169f87,9d584f52-4a33-4a4d-bf16-3e5294169f87,9d584f52-4a33-4a4d-bf16-3e5294169f87
74.017327,learned in class or from book,0.5,learned in class or from book,0,"UML, ER",cd3d1b05-4f26-4a37-b4ee-0494c5db7880,cd3d1b05-4f26-4a37-b4ee-0494c5db7880,cd3d1b05-4f26-4a37-b4ee-0494c5db7880
34.176102,used on a class project,4,used on multiple projects in industry,5,"UML, ER",6f003f1e-2d9f-4a97-a8d9-ca71b3a9953e,6f003f1e-2d9f-4a97-a8d9-ca71b3a9953e,6f003f1e-2d9f-4a97-a8d9-ca71b3a9953e
53.590582,no experience,1,learned in class or from book,0.5,"UML, ER",569730b7-d99c-43b4-ad3d-7eab8239cb6a,569730b7-d99c-43b4-ad3d-7eab8239cb6a,569730b7-d99c-43b4-ad3d-7eab8239cb6a
56.264945,used on a class project,7,used on a class project,0,"UML, ER, Flow Chart",9a9ba470-2ca5-4529-87db-a71fa468c89c,9a9ba470-2ca5-4529-87db-a71fa468c89c,9a9ba470-2ca5-4529-87db-a71fa468c89c
61.828915,learned in class or from book,0,learned in class or from book,0,-,6871eb0f-ede5-4917-b874-09975763ba66,6871eb0f-ede5-4917-b874-09975763ba66,6871eb0f-ede5-4917-b874-09975763ba66
84.323844,used on a class project,4,learned in class or from book,0,uml,5d46a41b-41cc-4647-850b-64f99ec59885,5d46a41b-41cc-4647-850b-64f99ec59885,5d46a41b-41cc-4647-850b-64f99ec59885
61.162862,learned in class or from book,1-2,learned in class or from book,1-2,"UML, ER",4e8c2f3d-caaf-4bfd-a0dd-45768e71dec9,4e8c2f3d-caaf-4bfd-a0dd-45768e71dec9,4e8c2f3d-caaf-4bfd-a0dd-45768e71dec9
59.496901,used on one project in industry,2.5 years,used on one project in industry,2.5 years,"UML, ERM",2658a615-10ed-4079-847c-130becd6377f,2658a615-10ed-4079-847c-130becd6377f,2658a615-10ed-4079-847c-130becd6377f
11.41015,no experience,"",no experience,"","",017e2eb5-f076-4560-926c-2b59eed9b68f,017e2eb5-f076-4560-926c-2b59eed9b68f,017e2eb5-f076-4560-926c-2b59eed9b68f
45.165817,learned in class or from book,1,no experience,0,uml,f419d549-6d26-4ce2-a0f6-14e47706fc55,f419d549-6d26-4ce2-a0f6-14e47706fc55,f419d549-6d26-4ce2-a0f6-14e47706fc55
