Create Program,Get Delays,medium
Get Sun Data,Confirm Coffee Preferences,simple,93.682676,scale_0,1
Stakeholders,"Next QR, Order Item, and Tray",complex,3.959498,scale_0,-1
"Next QR, Order Item, and Tray",Stakeholders,complex,2.880775,scale_0,0
Get Delays,Create Program,medium,5.672477,scale_0,-2
Stakeholders,"Next QR, Order Item, and Tray",complex,25.58135,scale_0,1
Get Sun Data,Confirm Coffee Preferences,simple,11.024158,scale_0,-1
Get Delays,Create Program,medium,11.252028,scale_0,2
Get Sun Data,Confirm Coffee Preferences,simple,3.718022
Get Sun Data,Confirm Coffee Preferences,simple,52.111354,scale_0,1
Get Sun Data,Confirm Coffee Preferences,simple,49.676248,scale_0,-1
"Next QR, Order Item, and Tray",Stakeholders,complex,9.759518,scale_0,1
Get Sun Data,Confirm Coffee Preferences,simple,75.28099,scale_0,2
Confirm Coffee Preferences,Get Sun Data,simple,74.984406,scale_0,1
Stakeholders,"Next QR, Order Item, and Tray",complex
Get Delays,Create Program,medium,46.65965
Stakeholders,"Next QR, Order Item, and Tray",complex,13.112191,scale_0,-2
Get Sun Data,Confirm Coffee Preferences,simple,14.28542,scale_0,-1
Confirm Coffee Preferences,Get Sun Data,simple,11.997411,scale_0,2
"Next QR, Order Item, and Tray",Stakeholders,complex,3.986158,scale_0,1
Get Delays,Create Program,medium,12.359931,scale_0,1
"Next QR, Order Item, and Tray",Stakeholders,complex,6.395529,scale_0,0
Create Program,Get Delays,medium,14.857819,scale_0,1
Get Delays,Create Program,medium,10.286323
Get Sun Data,Confirm Coffee Preferences,simple,14.636316,scale_0,0
Get Delays,Create Program,medium,6.974947,scale_0,1
Get Delays,Create Program,medium,51.521405,scale_0,1
Get Delays,Create Program,medium,8.703799,scale_0,1
Get Sun Data,Confirm Coffee Preferences,simple,50.021993,scale_0,0
Create Program,Get Delays,medium,56.421914,scale_0,-1
Get Delays,Create Program,medium,13.370865,scale_0,-1
Confirm Coffee Preferences,Get Sun Data,simple,106.587333,scale_0,-1
Stakeholders,"Next QR, Order Item, and Tray",complex,5.616511,scale_0,-1
Stakeholders,"Next QR, Order Item, and Tray",complex,6.123013,scale_0,-2
Get Sun Data,Confirm Coffee Preferences,simple,23.293791,scale_0,0
Get Sun Data,Confirm Coffee Preferences,simple,17.52363,scale_0,-1
Confirm Coffee Preferences,Get Sun Data,simple,18.595808,scale_0,-2
Create Program,Get Delays,medium,15.383057,scale_0,1
Stakeholders,"Next QR, Order Item, and Tray",complex,7.166301,scale_0,-1
"Next QR, Order Item, and Tray",Stakeholders,complex,7.81075,scale_0,0
Create Program,Get Delays,medium,3.331726,scale_0,-1
Confirm Coffee Preferences,Get Sun Data,simple,8.973849,scale_0,0
Get Delays,Create Program,medium,1.818102
Stakeholders,"Next QR, Order Item, and Tray",complex,6.347551,scale_0,-2
Create Program,Get Delays,medium,5.111417,scale_0,1
Confirm Coffee Preferences,Get Sun Data,simple,12.417112,scale_0,2
Get Delays,Create Program,medium,8.92081,scale_0,0
Create Program,Get Delays,medium,7.812733,scale_0,2
"Next QR, Order Item, and Tray",Stakeholders,complex,55.894769,scale_0,1
Stakeholders,"Next QR, Order Item, and Tray",complex,64.065129,scale_0,-2
Confirm Coffee Preferences,Get Sun Data,simple,40.450915,scale_0,2
Confirm Coffee Preferences,Get Sun Data,simple,91.227791,scale_0,2
Get Sun Data,Confirm Coffee Preferences,simple,30.355388,scale_0,2
Confirm Coffee Preferences,Get Sun Data,simple,21.295307,scale_0,1
Stakeholders,"Next QR, Order Item, and Tray",complex,8.612564,scale_0,-2
Get Delays,Create Program,medium,3.76305,scale_0,-1
"Next QR, Order Item, and Tray",Stakeholders,complex
Create Program,Get Delays,medium,23.596938,scale_0,1
Stakeholders,"Next QR, Order Item, and Tray",complex,7.549608,scale_0,0
Get Delays,Create Program,medium,12.271286,scale_0,0
Create Program,Get Delays,medium,5.547417,scale_0,2
Stakeholders,"Next QR, Order Item, and Tray",complex
Stakeholders,"Next QR, Order Item, and Tray",complex,8.697433,scale_0,0
Create Program,Get Delays,medium,6.24377,scale_0,1
"Next QR, Order Item, and Tray",Stakeholders,complex,6.231595,scale_0,-2
Create Program,Get Delays,medium,10.246176,scale_0,0
Stakeholders,"Next QR, Order Item, and Tray",complex,9.019673,scale_0,0
Get Delays,Create Program,medium,7.24091,scale_0,2
"Next QR, Order Item, and Tray",Stakeholders,complex,5.983662,scale_0,-1
Confirm Coffee Preferences,Get Sun Data,simple,31.127622,scale_0,1
Stakeholders,"Next QR, Order Item, and Tray",complex,3.127474,scale_0,0
Get Sun Data,Confirm Coffee Preferences,simple,17.760445,scale_0,1
Stakeholders,"Next QR, Order Item, and Tray",complex,4.462652,scale_0,2
"Next QR, Order Item, and Tray",Stakeholders,complex,5.150611,scale_0,1
Confirm Coffee Preferences,Get Sun Data,simple,12.212729,scale_0,2
"Next QR, Order Item, and Tray",Stakeholders,complex,3.640445,scale_0,1
Confirm Coffee Preferences,Get Sun Data,simple,5.243651
"Next QR, Order Item, and Tray",Stakeholders,complex,6.054147,scale_0,-1
Confirm Coffee Preferences,Get Sun Data,simple,17.225389,scale_0,2
Stakeholders,"Next QR, Order Item, and Tray",complex,7.27467,scale_0,-1
Create Program,Get Delays,medium,4.648259,scale_0,1
Stakeholders,"Next QR, Order Item, and Tray",complex,2.5637
Get Delays,Create Program,medium,10.876284,scale_0,1
Get Sun Data,Confirm Coffee Preferences,simple,69.938785,scale_0,0
Create Program,Get Delays,medium,45.527137,scale_0,1
"Next QR, Order Item, and Tray",Stakeholders,complex,5.165037,scale_0,0
Create Program,Get Delays,medium,6.680241,scale_0,-1
Stakeholders,"Next QR, Order Item, and Tray",complex,18.057492,scale_0,-1
Stakeholders,"Next QR, Order Item, and Tray",complex,6.571846,scale_0,-2
Stakeholders,"Next QR, Order Item, and Tray",complex
Create Program,Get Delays,medium,3.19664
Confirm Coffee Preferences,Get Sun Data,simple,72.461458,scale_0,1
Get Sun Data,Confirm Coffee Preferences,simple,3.66679,scale_0,-1
"Next QR, Order Item, and Tray",Stakeholders,complex,1.720148,scale_0,0
"Next QR, Order Item, and Tray",Stakeholders,complex
Confirm Coffee Preferences,Get Sun Data,simple,6.59098,scale_0,1
Create Program,Get Delays,medium,10.028784,scale_0,1
Confirm Coffee Preferences,Get Sun Data,simple,207.441659,scale_0,1
Confirm Coffee Preferences,Get Sun Data,simple,49.731477,scale_0,2
Stakeholders,"Next QR, Order Item, and Tray",complex,3.721227,scale_0,1
"Next QR, Order Item, and Tray",Stakeholders,complex,4.676097,scale_0,2
Get Delays,Create Program,medium,5.619869,scale_0,1
Get Delays,Create Program,medium,42.744288,scale_0,0
Create Program,Get Delays,medium,12.494819,scale_0,0
Confirm Coffee Preferences,Get Sun Data,simple,19.796648,scale_0,1
"Next QR, Order Item, and Tray",Stakeholders,complex,8.801378,scale_0,-2
"Next QR, Order Item, and Tray",Stakeholders,complex,5.377641,scale_0,1
Get Delays,Create Program,medium,10.387223,scale_0,1
"Next QR, Order Item, and Tray",Stakeholders,complex,2.332605
Get Sun Data,Confirm Coffee Preferences,simple,22.430977,scale_0,2
Get Delays,Create Program,medium,8.158013,scale_0,2
Get Delays,Create Program,medium,6.800016,scale_0,0
Confirm Coffee Preferences,Get Sun Data,simple,108.413145,scale_0,-1
Stakeholders,"Next QR, Order Item, and Tray",complex,4.672663,scale_0,-2
Confirm Coffee Preferences,Get Sun Data,simple,28.678932,scale_0,1
Confirm Coffee Preferences,Get Sun Data,simple,12.193586,scale_0,1
Create Program,Get Delays,medium,17.037233,scale_0,-1
Get Delays,Create Program,medium,120.671365,scale_0,-1
Create Program,Get Delays,medium,96.985353,scale_0,1
Confirm Coffee Preferences,Get Sun Data,simple,99.829364,scale_0,2
Confirm Coffee Preferences,Get Sun Data,simple,44.835725,scale_0,2
"Next QR, Order Item, and Tray",Stakeholders,complex,8.094388,scale_0,-1
Get Sun Data,Confirm Coffee Preferences,simple,73.31781,scale_0,1
"Next QR, Order Item, and Tray",Stakeholders,complex,13.94019,scale_0,0
"Next QR, Order Item, and Tray",Stakeholders,complex,9.596382,scale_0,-1
Create Program,Get Delays,medium,4.018577,scale_0,2
Stakeholders,"Next QR, Order Item, and Tray",complex,10.858644,scale_0,1
"Next QR, Order Item, and Tray",Stakeholders,complex,5.16514,scale_0,2
Create Program,Get Delays,medium,1.922331
"Next QR, Order Item, and Tray",Stakeholders,complex,4.575894,scale_0,0
Create Program,Get Delays,medium,6.841408
Create Program,Get Delays,medium,8.624094,scale_0,1
